"","item","item_link","is_beer","n","beer","price"
"1","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Beginner's Mind",117.7
"2","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Brighter Than Starlight",117.7
"3","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Brilliant",117.7
"4","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Doubleganger",117.7
"5","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Haze",117.7
"6","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"King Julius",117.7
"7","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Mega Treat",117.7
"8","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Thank You",117.7
"9","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,2,"Very Hhhazyyy",117.7
"10","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,3,"Seven",117.7
"11","Give Me All Of Your Double IPAS - April Sunshine Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-april-sunshine-edition-mix-pack",TRUE,3,"Weeknight 12oz",117.7
"12","Haze Flagship Double IPA","https://treehousebrew.com/shop/p/haze-flagship-double-ipa",TRUE,1,"Haze Flagship Double IPA",103.2
"13","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Julius",95.2
"14","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Green",95.2
"15","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Haze",95.2
"16","King Julius Double IPA [4-pack]","https://treehousebrew.com/shop/p/king-julius-double-ipa-4-pack",TRUE,1,"King Julius Double IPA [4-pack]",20.2
"17","Drink The Trees Mix Pack","https://treehousebrew.com/shop/p/drink-the-trees-mix-pack",TRUE,4,"Alter Ego",104.2
"18","Drink The Trees Mix Pack","https://treehousebrew.com/shop/p/drink-the-trees-mix-pack",TRUE,4,"Doubleganger",104.2
"19","Drink The Trees Mix Pack","https://treehousebrew.com/shop/p/drink-the-trees-mix-pack",TRUE,4,"Green",104.2
"20","Drink The Trees Mix Pack","https://treehousebrew.com/shop/p/drink-the-trees-mix-pack",TRUE,4,"Julius",104.2
"21","Drink The Trees Mix Pack","https://treehousebrew.com/shop/p/drink-the-trees-mix-pack",TRUE,4,"King Julius",104.2
"22","Drink The Trees Mix Pack","https://treehousebrew.com/shop/p/drink-the-trees-mix-pack",TRUE,4,"JJJuliusss",104.2
"23","Alter Ego Core American IPA [4-pack]","https://treehousebrew.com/shop/p/alter-ego-core-american-ipa-4-pack",TRUE,1,"Alter Ego Core American IPA [4-pack]",15.2
"24","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"Brighter Than Starlight",116.2
"25","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"Brilliant",116.2
"26","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"Doubleganger",116.2
"27","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"Green",116.2
"28","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"Julius",116.2
"29","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"King Julius",116.2
"30","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"On The Fly",116.2
"31","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"Very Hhhazyyy",116.2
"32","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,1,"Doppelganger",116.2
"33","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,1,"JJJuliusss",116.2
"34","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,1,"Let The Light In",116.2
"35","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,1,"Mega Treat",116.2
"36","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,1,"Super Vivid",116.2
"37","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,2,"Thank You",116.2
"38","Give Me All Of Your Hops - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-treehousetuesday-edition-mix-pack",TRUE,1,"Weeknight 12oz",116.2
"39","Beginner's Mind Double IPA [4-pack]","https://treehousebrew.com/shop/p/beginners-mind-double-ipa-4-pack",TRUE,1,"Beginner's Mind Double IPA [4-pack]",20.2
"40","Seven Anniversary Double IPA [4-pack]","https://treehousebrew.com/shop/p/seven-anniversary-double-ipa-4-pack",TRUE,1,"Seven Anniversary Double IPA [4-pack]",21.2
"41","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,8,"Julius",104.2
"42","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,4,"JJJuliusss",104.2
"43","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,4,"Weeknight 12oz",104.2
"44","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,4,"Mega Treat",104.2
"45","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,2,"Very Hhhazyyy",104.2
"46","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,2,"Doubleganger",104.2
"47","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"48","Very HHHazyyyy Double IPA [2-pack]","https://treehousebrew.com/shop/p/very-hhhazyyyy-double-ipa-4-pack",TRUE,1,"Very HHHazyyyy Double IPA [2-pack]",11.1
"49","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Brilliant",109.95
"50","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Daze",109.95
"51","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Doppelganger",109.95
"52","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Doubleganger",109.95
"53","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Green",109.95
"54","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"JJJuliusss",109.95
"55","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"On The Fly",109.95
"56","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Thank You",109.95
"57","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Very Hhhazyyy",109.95
"58","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Weeknight 12oz",109.95
"59","JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]","https://treehousebrew.com/shop/p/jjjuliusss-extra-kettle-dry-hopped-ipa-4-pack",TRUE,1,"JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]",18.2
"60","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Doubleganger",117.7
"61","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"JJJuliusss",117.7
"62","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Mega Treat",117.7
"63","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Thank You",117.7
"64","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Daze",117.7
"65","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,2,"Let The Light In",117.7
"66","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,2,"Very Hhhazyyy",117.7
"67","Green Flagship American IPA","https://treehousebrew.com/shop/p/green-flagship-american-ipa",TRUE,1,"Green Flagship American IPA",91.2
"68","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"Doubleganger",103.2
"69","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"Green",103.2
"70","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"JJJuliusss",103.2
"71","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"Mega Treat",103.2
"72","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"Daze",103.2
"73","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"Weeknight 12oz",103.2
