"","item","item_link","is_beer","n","beer","price"
"1","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,8,"Green",110.2
"2","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,8,"Very Green",110.2
"3","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,4,"Spring",110.2
"4","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,2,"Fruit Project with Mango & Stonefruit",110.2
"5","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,2,"Fruit Project with Peach and PF",110.2
"6","Juice Project Citra + Bru-1 [4-pack]","https://treehousebrew.com/shop/p/juice-project-citra-bru-1",TRUE,1,"Juice Project Citra + Bru-1 [4-pack]",21.2
"7","St. Patrick's Day Tulip Glass - [Lucky]","https://treehousebrew.com/shop/p/st-patricks-day-tulip-glass-lucky",FALSE,NA,NA,NA
"8","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"9","Give Me All Of Your Double IPAs - Extra Juice Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-juice-edition-mix-pack",TRUE,1,"Juice Project Citra + Barbe Rouge",122.7
"10","Give Me All Of Your Double IPAs - Extra Juice Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-juice-edition-mix-pack",TRUE,1,"Curiosity One Hundred Nine",122.7
"11","Give Me All Of Your Double IPAs - Extra Juice Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-juice-edition-mix-pack",TRUE,2,"Beginner's Mind",122.7
"12","Give Me All Of Your Double IPAs - Extra Juice Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-juice-edition-mix-pack",TRUE,2,"Doubleganger",122.7
"13","Give Me All Of Your Double IPAs - Extra Juice Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-juice-edition-mix-pack",TRUE,2,"Fascination",122.7
