"","item","item_link","is_beer","n","beer","price"
"1","Haze Flagship Double IPA","https://treehousebrew.com/shop/p/haze-flagship-double-ipa",TRUE,1,"Haze Flagship Double IPA",103.2
"2","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,1,"Curiosity One Hundred Nine",121.45
"3","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,1,"Fascination",121.45
"4","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,1,"Juice Project Citra + Barbe Rouge",121.45
"5","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,1,"Super Radiant",121.45
"6","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Beginner's Mind",121.45
"7","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Fruit Project with Mango & Stonefruit",121.45
"8","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Fruit Project with Peach and PF",121.45
"9","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Haze",121.45
"10","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Juice Project",121.45
"11","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Super Treat",121.45
"12","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Spring",121.45
"13","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"On The Fly",121.45
"14","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Very Green",121.45
"15","Give Me All Of Your Double IPAS - Extra Green Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-extra-green-edition-mix-pack",TRUE,2,"Perfect Storm",121.45
"16","Perfect Storm Extra Kettle + Dry Hopped Double IPA [4-pack]","https://treehousebrew.com/shop/p/perfect-storm-extra-kettle-dry-hopped-double-ipa-4-pack",TRUE,1,"Perfect Storm Extra Kettle + Dry Hopped Double IPA [4-pack]",21.2
"17","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Very Green",106.2
"18","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Green",106.2
"19","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Julius",106.2
"20","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Super Treat",106.2
"21","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Julius",95.2
"22","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Green",95.2
"23","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Haze",95.2
