"","item","item_link","is_beer","n","beer","price"
"1","Sunday Whoa Mix Pack","https://treehousebrew.com/shop/p/sunday-whoa-mix-pack",TRUE,5,"King Julius",109.2
"2","Sunday Whoa Mix Pack","https://treehousebrew.com/shop/p/sunday-whoa-mix-pack",TRUE,5,"Very Green",109.2
"3","Sunday Whoa Mix Pack","https://treehousebrew.com/shop/p/sunday-whoa-mix-pack",TRUE,5,"Spring",109.2
"4","Sunday Whoa Mix Pack","https://treehousebrew.com/shop/p/sunday-whoa-mix-pack",TRUE,5,"JJJuliusss",109.2
"5","Sunday Whoa Mix Pack","https://treehousebrew.com/shop/p/sunday-whoa-mix-pack",TRUE,4,"Weeknight 12oz",109.2
"6","Very Green Double IPA [4-pack]","https://treehousebrew.com/shop/p/very-green-double-ipa-4-pack",TRUE,1,"Very Green Double IPA [4-pack]",20.2
"7","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,2,"JJJuliusss",117.9
"8","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,2,"King Julius",117.9
"9","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,2,"Spring",117.9
"10","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Beginner's Mind",117.9
"11","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Double Shot- Gold",117.9
"12","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Green",117.9
"13","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Haze 12 oz",117.9
"14","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Haze",117.9
"15","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Hold On To Sunshine",117.9
"16","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Hurricane",117.9
"17","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Impermanence- Can",117.9
"18","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Julius",117.9
"19","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Nervous Energy",117.9
"20","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Saturated",117.9
"21","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Seven",117.9
"22","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Simple Life- Can",117.9
"23","Give Me All Of Your Cans - A Tasting Journey Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-a-tasting-journey-mix-pack",TRUE,1,"Somewhere, Something",117.9
