"","item","item_link","is_beer","n","beer","price"
"1","Drink Your Juice Mix Pack","https://treehousebrew.com/shop/p/drink-your-juice-mix-pack",TRUE,5,"JJJuliusss",113.7
"2","Drink Your Juice Mix Pack","https://treehousebrew.com/shop/p/drink-your-juice-mix-pack",TRUE,5,"Julius",113.7
"3","Drink Your Juice Mix Pack","https://treehousebrew.com/shop/p/drink-your-juice-mix-pack",TRUE,5,"Juice Project Citra + Galaxy",113.7
"4","Drink Your Juice Mix Pack","https://treehousebrew.com/shop/p/drink-your-juice-mix-pack",TRUE,5,"Saturated",113.7
"5","Drink Your Juice Mix Pack","https://treehousebrew.com/shop/p/drink-your-juice-mix-pack",TRUE,4,"King Julius",113.7
"6","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"7","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,8,"Green",96.7
"8","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,8,"Julius",96.7
"9","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Haze",96.7
"10","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,2,"King Julius",96.7
"11","King Julius Double IPA [4-pack]","https://treehousebrew.com/shop/p/king-julius-double-ipa-4-pack",TRUE,1,"King Julius Double IPA [4-pack]",20.2
"12","Curiosity One Hundred Thirteen - Experimental American IPA [4-pack]","https://treehousebrew.com/shop/p/curiosity-one-hundred-thirteen-experimental-american-ipa-4-pack",TRUE,1,"Curiosity One Hundred Thirteen - Experimental American IPA [4-pack]",17.2
"13","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"Eureka w/ Citra",98.7
"14","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"Green",98.7
"15","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"Haze",98.7
"16","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"Hurricane",98.7
"17","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"Julius",98.7
"18","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"King Julius",98.7
"19","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"Very Green",98.7
"20","The One And Only Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/the-one-and-only-proper-as-fff-mix-pack",TRUE,3,"Sap",98.7
"21","Green Flagship American IPA","https://treehousebrew.com/shop/p/green-flagship-american-ipa",TRUE,1,"Green Flagship American IPA",91.2
"22","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Julius",95.2
"23","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Green",95.2
"24","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Haze",95.2
"25","Tree House Blend Cold Brew","https://treehousebrew.com/shop/p/tree-house-blend-cold-brew",FALSE,NA,NA,NA
"26","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Beginner's Mind",105.45
"27","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Eureka w/ Citra",105.45
"28","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Green",105.45
"29","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Haze 12 oz",105.45
"30","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"JJJuliusss",105.45
"31","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Juice Project Citra + Galaxy",105.45
"32","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"King Julius",105.45
"33","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Sap",105.45
"34","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Saturated",105.45
"35","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,2,"Spring",105.45
"36","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,1,"Haze",105.45
"37","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,1,"Hurricane",105.45
"38","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,1,"Seven",105.45
"39","Give Me All Of Your IPAS - All The Classics Mix Pack!","https://treehousebrew.com/shop/p/give-me-all-of-your-ipas-all-the-classics-mix-pack",TRUE,1,"Very Green",105.45
"40","Juice Project Citra + Galaxy [4-pack]","https://treehousebrew.com/shop/p/juice-project-citra-galaxy-4-pack",TRUE,1,"Juice Project Citra + Galaxy [4-pack]",21.2
"41","Haze Flagship Double IPA","https://treehousebrew.com/shop/p/haze-flagship-double-ipa",TRUE,1,"Haze Flagship Double IPA",103.2
"42","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,2,"King Julius",113.45
"43","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,2,"Seven",113.45
"44","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,2,"Very Green",113.45
"45","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,3,"Beginner's Mind",113.45
"46","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,3,"Haze 12 oz",113.45
"47","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,3,"Hurricane",113.45
"48","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,3,"Juice Project Citra + Galaxy",113.45
"49","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,3,"Saturated",113.45
"50","Give Me All Of Your Double IPAS - Beach Day Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-beach-day-edition-mix-pack",TRUE,3,"Spring",113.45
"51","Maple Syrup Aged 3 Years in Bourbon Barrels with Coffee + Vanilla","https://treehousebrew.com/shop/p/maple-syrup-aged-3-years-in-bourbon-barrels-with-coffee-vanilla",TRUE,1,"Maple Syrup Aged 3 Years in Bourbon Barrels with Coffee + Vanilla",16
"52","Icons of Tree House Mix Pack","https://treehousebrew.com/shop/p/icons-of-tree-house-mix-pack",TRUE,4,"Green",99.2
"53","Icons of Tree House Mix Pack","https://treehousebrew.com/shop/p/icons-of-tree-house-mix-pack",TRUE,4,"Haze",99.2
"54","Icons of Tree House Mix Pack","https://treehousebrew.com/shop/p/icons-of-tree-house-mix-pack",TRUE,4,"Sap",99.2
"55","Icons of Tree House Mix Pack","https://treehousebrew.com/shop/p/icons-of-tree-house-mix-pack",TRUE,3,"Hurricane",99.2
"56","Icons of Tree House Mix Pack","https://treehousebrew.com/shop/p/icons-of-tree-house-mix-pack",TRUE,3,"King Julius",99.2
"57","Icons of Tree House Mix Pack","https://treehousebrew.com/shop/p/icons-of-tree-house-mix-pack",TRUE,3,"Eureka w/ Citra",99.2
"58","Icons of Tree House Mix Pack","https://treehousebrew.com/shop/p/icons-of-tree-house-mix-pack",TRUE,3,"Very Green",99.2
"59","Eureka Citra Hoppy Blonde Ale - [4-pack]","https://treehousebrew.com/shop/p/eureka-citra-hoppy-blonde-ale-4-pack",TRUE,1,"Eureka Citra Hoppy Blonde Ale - [4-pack]",11.2
"60","JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]","https://treehousebrew.com/shop/p/jjjuliusss-extra-kettle-dry-hopped-ipa-4-pack",TRUE,1,"JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]",18.2
"61","Stout Lover's Delight Mix Pack","https://treehousebrew.com/shop/p/stout-lovers-delight-mix-pack",TRUE,3,"Hold On To Sunshine Milk Stout with Chocolate + Peanut Butter + Coffee",82.1
"62","Stout Lover's Delight Mix Pack","https://treehousebrew.com/shop/p/stout-lovers-delight-mix-pack",TRUE,3,"Somewhere, Something Milk Stout with Chocolate + Vanilla + Coffee",82.1
"63","Stout Lover's Delight Mix Pack","https://treehousebrew.com/shop/p/stout-lovers-delight-mix-pack",TRUE,2,"Double Shot- Gold",82.1
