"","item","item_link","is_beer","n","beer","price"
"1","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,8,"Julius",104.2
"2","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,4,"JJJuliusss",104.2
"3","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,4,"Weeknight 12oz",104.2
"4","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,4,"Mega Treat",104.2
"5","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,2,"Very Hhhazyyy",104.2
"6","Drink Your Oranges Mix Pack","https://treehousebrew.com/shop/p/drink-your-oranges-mix-pack",TRUE,2,"Doubleganger",104.2
"7","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"8","Can You Find the Easter Egg Mix Pack","https://treehousebrew.com/shop/p/can-you-find-the-easter-egg-mix-pack",TRUE,4,"Very Hhhazyyy",113.2
"9","Can You Find the Easter Egg Mix Pack","https://treehousebrew.com/shop/p/can-you-find-the-easter-egg-mix-pack",TRUE,4,"Brighter Than Starlight",113.2
"10","Can You Find the Easter Egg Mix Pack","https://treehousebrew.com/shop/p/can-you-find-the-easter-egg-mix-pack",TRUE,4,"Brilliant",113.2
"11","Can You Find the Easter Egg Mix Pack","https://treehousebrew.com/shop/p/can-you-find-the-easter-egg-mix-pack",TRUE,4,"Weeknight 12oz",113.2
"12","Can You Find the Easter Egg Mix Pack","https://treehousebrew.com/shop/p/can-you-find-the-easter-egg-mix-pack",TRUE,4,"Green",113.2
"13","Can You Find the Easter Egg Mix Pack","https://treehousebrew.com/shop/p/can-you-find-the-easter-egg-mix-pack",TRUE,4,"Mega Treat",113.2
"14","Very HHHazyyyy Double IPA [2-pack]","https://treehousebrew.com/shop/p/very-hhhazyyyy-double-ipa-4-pack",TRUE,1,"Very HHHazyyyy Double IPA [2-pack]",11.1
"15","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Brilliant",109.95
"16","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Daze",109.95
"17","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Doppelganger",109.95
"18","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"Doubleganger",109.95
"19","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Green",109.95
"20","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,3,"JJJuliusss",109.95
"21","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"On The Fly",109.95
"22","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Thank You",109.95
"23","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Very Hhhazyyy",109.95
"24","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,2,"Weeknight 12oz",109.95
"25","JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]","https://treehousebrew.com/shop/p/jjjuliusss-extra-kettle-dry-hopped-ipa-4-pack",TRUE,1,"JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]",18.2
"26","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Doubleganger",117.7
"27","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"JJJuliusss",117.7
"28","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Mega Treat",117.7
"29","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Thank You",117.7
"30","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,4,"Daze",117.7
"31","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,2,"Let The Light In",117.7
"32","Saturday Improver Mix Pack","https://treehousebrew.com/shop/p/saturday-improver-mix-pack",TRUE,2,"Very Hhhazyyy",117.7
"33","Monochrome Cold Brew - 12 oz. Cans [4-pack]","https://treehousebrew.com/shop/p/monochrome-cold-brew-12-oz-cans-4-pack",FALSE,NA,NA,NA
"34","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"Doubleganger",103.2
"35","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"Green",103.2
"36","Sweet Sunday Mix Pack","https://treehousebrew.com/shop/p/friday-ripper-mix-pack",TRUE,4,"JJJuliusss",103.2
