"","item","item_link","is_beer","n","beer","price"
"1","Super Vivid Fruited Double IPA","https://treehousebrew.com/shop/p/super-vivid-fruited-double-ipa",TRUE,1,"Super Vivid Fruited Double IPA",21.2
"2","Dream Team Mix Pack # 2","https://treehousebrew.com/shop/p/dream-team-mix-pack-2",TRUE,4,"Julius",108.2
"3","Dream Team Mix Pack # 2","https://treehousebrew.com/shop/p/dream-team-mix-pack-2",TRUE,4,"Doppelganger",108.2
"4","Dream Team Mix Pack # 2","https://treehousebrew.com/shop/p/dream-team-mix-pack-2",TRUE,4,"Green",108.2
"5","Dream Team Mix Pack # 2","https://treehousebrew.com/shop/p/dream-team-mix-pack-2",TRUE,4,"Haze",108.2
"6","Dream Team Mix Pack # 2","https://treehousebrew.com/shop/p/dream-team-mix-pack-2",TRUE,4,"Perfect Storm",108.2
"7","Dream Team Mix Pack # 2","https://treehousebrew.com/shop/p/dream-team-mix-pack-2",TRUE,4,"Juice Project Citra + Bru-1",108.2
"8","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"9","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Julius",98.7
"10","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Green",98.7
"11","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Haze",98.7
"12","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Doppelganger",98.7
"13","Very Green Double IPA [4-pack]","https://treehousebrew.com/shop/p/very-green-double-ipa-4-pack",TRUE,1,"Very Green Double IPA [4-pack]",20.2
"14","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,2,"Very Hazy",122.7
"15","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Haze",122.7
"16","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Juice Project Citra + Barbe Rouge",122.7
"17","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Perfect Storm",122.7
"18","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Let The Light In",122.7
"19","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,6,"Fruit Project with Mango & Stonefruit",122.7
"20","Curiosity One Hundred Ten Experimental Double IPA [4-pack]","https://treehousebrew.com/shop/p/curiosity-one-hundred-ten-experimental-double-ipa-4-pack",TRUE,1,"Curiosity One Hundred Ten Experimental Double IPA [4-pack]",21.2
"21","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Beginner's Mind",116.7
"22","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Fruit Project with Mango + Stonefruit",116.7
"23","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Green",116.7
"24","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Haze",116.7
"25","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"JJJuliusss",116.7
"26","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Juice Project",116.7
"27","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Juice Project Citra + BRU 1",116.7
"28","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Perfect Storm",116.7
"29","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Let The Light In",116.7
"30","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"AAAlterrr Ego",116.7
"31","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Spring",116.7
"32","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Very Green",116.7
"33","JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]","https://treehousebrew.com/shop/p/jjjuliusss-extra-kettle-dry-hopped-ipa-4-pack",TRUE,1,"JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]",18.2
"34","Give Me All Of Your Hops - Extra Juicy Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-extra-juicy-edition-mix-pack",TRUE,1,"AAAlterrr Ego",120.2
"35","Give Me All Of Your Hops - Extra Juicy Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-extra-juicy-edition-mix-pack",TRUE,1,"Curiosity One Hundred Nine",120.2
"36","Give Me All Of Your Hops - Extra Juicy Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-extra-juicy-edition-mix-pack",TRUE,1,"Curiosity One Hundred Ten",120.2
"37","Give Me All Of Your Hops - Extra Juicy Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-extra-juicy-edition-mix-pack",TRUE,1,"Fascination",120.2
