"","item","item_link","is_beer","n","beer","price"
"1","Green Core American IPA - Knocked Out Can","https://treehousebrew.com/shop/p/green-core-american-ipa-fancy-knocked-out-can-style",TRUE,1,"Green Core American IPA - Knocked Out Can",91.2
"2","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Very Green",106.2
"3","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Green",106.2
"4","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Julius",106.2
"5","Dream Team Legends Edition Mix Pack","https://treehousebrew.com/shop/p/dream-team-legends-edition-mix-pack",TRUE,6,"Super Treat",106.2
"6","Let The Light In Extra Kettle + Dry-hopped Double IPA [4-pack]","https://treehousebrew.com/shop/p/let-the-light-in-extra-kettle-dry-hopped-double-ipa-4-pack",TRUE,1,"Let The Light In Extra Kettle + Dry-hopped Double IPA [4-pack]",21.2
"7","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Julius",95.2
"8","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Green",95.2
"9","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Haze",95.2
"10","Haze Flagship Double IPA","https://treehousebrew.com/shop/p/haze-flagship-double-ipa",TRUE,1,"Haze Flagship Double IPA",103.2
"11","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,8,"Green",110.2
"12","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,8,"Very Green",110.2
"13","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,4,"Spring",110.2
"14","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,2,"Fruit Project with Mango & Stonefruit",110.2
"15","Drink Your Greens - Luck of the Irish Edition Mix Pack!","https://treehousebrew.com/shop/p/drink-your-greens-luck-of-the-irish-edition-mix-pack",TRUE,2,"Fruit Project with Peach and PF",110.2
"16","Very Green Double IPA [4-pack]","https://treehousebrew.com/shop/p/very-green-double-ipa-4-pack",TRUE,1,"Very Green Double IPA [4-pack]",20.2
"17","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Beginner's Mind",116.7
"18","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Fruit Project with Peach and PF",116.7
"19","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Green",116.7
"20","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Haze",116.7
"21","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"JJJuliusss",116.7
"22","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Juice Project",116.7
"23","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Juice Project Citra + BRU 1",116.7
"24","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Perfect Storm",116.7
"25","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Let The Light In",116.7
"26","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"AAAlterrr Ego",116.7
"27","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Spring",116.7
"28","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1",TRUE,2,"Very Green",116.7
