"","item","item_link","is_beer","n","beer","price"
"1","JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]","https://treehousebrew.com/shop/p/jjjuliusss-extra-kettle-dry-hopped-ipa-4-pack",TRUE,1,"JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]",18.2
"2","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"Very Hhhazyyy",115.95
"3","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"Brighter Than Starlight",115.95
"4","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"Curiosity One Hundred Eleven",115.95
"5","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"Curiosity One Hundred Twelve",115.95
"6","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"Daze",115.95
"7","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"JJJuliusss",115.95
"8","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"Super Vivid",115.95
"9","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,1,"Very Green",115.95
"10","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"Doppelganger",115.95
"11","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"Green",115.95
"12","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"Juice Project Citra + BRU 1",115.95
"13","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"Let The Light In",115.95
"14","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"Mega Treat",115.95
"15","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"On The Fly",115.95
"16","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"Thank You",115.95
"17","Give Me All Of Your Hops - No Joke Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-no-joke-mix-pack",TRUE,2,"Weeknight 12oz",115.95
"18","Mega Treat Extra Kettle + Dry Hopped Double IPA [4-pack]","https://treehousebrew.com/shop/p/mega-treat-extra-kettle-dry-hopped-double-ipa-4-pack",TRUE,1,"Mega Treat Extra Kettle + Dry Hopped Double IPA [4-pack]",21.2
"19","This Is The One Mix Pack","https://treehousebrew.com/shop/p/this-is-the-one-mix-pack",TRUE,4,"Green",110.2
"20","This Is The One Mix Pack","https://treehousebrew.com/shop/p/this-is-the-one-mix-pack",TRUE,4,"Julius",110.2
"21","This Is The One Mix Pack","https://treehousebrew.com/shop/p/this-is-the-one-mix-pack",TRUE,4,"Perfect Storm",110.2
"22","This Is The One Mix Pack","https://treehousebrew.com/shop/p/this-is-the-one-mix-pack",TRUE,4,"Very Green",110.2
"23","This Is The One Mix Pack","https://treehousebrew.com/shop/p/this-is-the-one-mix-pack",TRUE,4,"Very Hazy",110.2
"24","This Is The One Mix Pack","https://treehousebrew.com/shop/p/this-is-the-one-mix-pack",TRUE,4,"Doppelganger",110.2
"25","Green Flagship American IPA","https://treehousebrew.com/shop/p/green-flagship-american-ipa",TRUE,1,"Green Flagship American IPA",91.2
"26","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Curiosity One Hundred Eleven",122.95
"27","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Curiosity One Hundred Twelve",122.95
"28","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Doppelganger",122.95
"29","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Fruit Project with Mango & Stonefruit",122.95
"30","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Juice Project Citra + BRU 1",122.95
"31","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Let The Light In",122.95
"32","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"On The Fly",122.95
"33","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Perfect Storm",122.95
"34","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Super Vivid",122.95
"35","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,2,"Thank You",122.95
"36","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,1,"Very Green",122.95
"37","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,1,"Very Hhhazyyy",122.95
"38","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,1,"Very Hazy",122.95
"39","Give Me All Of Your Double IPAS - #treehousetuesday Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-treehousetuesday-edition-mix-pack",TRUE,1,"Weeknight 12oz",122.95
"40","Daze American IPA [4-pack]","https://treehousebrew.com/shop/p/daze-american-ipa-4-pack",TRUE,1,"Daze American IPA [4-pack]",15.2
"41","Thursday Slammer Mix Pack","https://treehousebrew.com/shop/p/sunday-slammer-mix-pack",TRUE,4,"Fruit Project with Mango & Stonefruit",119.2
"42","Thursday Slammer Mix Pack","https://treehousebrew.com/shop/p/sunday-slammer-mix-pack",TRUE,4,"Julius",119.2
"43","Thursday Slammer Mix Pack","https://treehousebrew.com/shop/p/sunday-slammer-mix-pack",TRUE,4,"Juice Project Citra + BRU 1",119.2
"44","Thursday Slammer Mix Pack","https://treehousebrew.com/shop/p/sunday-slammer-mix-pack",TRUE,4,"Perfect Storm",119.2
"45","Thursday Slammer Mix Pack","https://treehousebrew.com/shop/p/sunday-slammer-mix-pack",TRUE,4,"Very Hazy",119.2
"46","Thursday Slammer Mix Pack","https://treehousebrew.com/shop/p/sunday-slammer-mix-pack",TRUE,4,"Very Green",119.2
"47","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"48","Thank You Double IPA [4-pack]","https://treehousebrew.com/shop/p/thank-you-double-ipa-4-pack",TRUE,1,"Thank You Double IPA [4-pack]",21.2
"49","Brighter Than Starlight Double IPA [4-pack]","https://treehousebrew.com/shop/p/brighter-than-starlight-double-ipa-4-pack",TRUE,1,"Brighter Than Starlight Double IPA [4-pack]",21.2
"50","Give Me All Of Your Hops Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-mix-pack",TRUE,1,"AAAlterrr Ego",117.45
