"","item","item_link","is_beer","n","beer","price"
"1","Hurricane Double IPA [4-pack]","https://treehousebrew.com/shop/p/hurricane-double-ipa-4-pack",TRUE,1,"Hurricane Double IPA [4-pack]",18.2
"2","Quintessential Tree House Mix Pack","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack",TRUE,1,"Quintessential Tree House Mix Pack",112.95
"3","JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]","https://treehousebrew.com/shop/p/jjjuliusss-extra-kettle-dry-hopped-ipa-4-pack",TRUE,1,"JJJULIUSSS Extra Kettle + Dry Hopped IPA [4-pack]",18.2
"4","Ultimate Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/ultimate-proper-as-fff-mix-pack",TRUE,3,"Alter Ego",105.2
"5","Ultimate Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/ultimate-proper-as-fff-mix-pack",TRUE,3,"Doubleganger",105.2
"6","Ultimate Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/ultimate-proper-as-fff-mix-pack",TRUE,3,"Green",105.2
"7","Ultimate Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/ultimate-proper-as-fff-mix-pack",TRUE,3,"King Julius",105.2
"8","Ultimate Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/ultimate-proper-as-fff-mix-pack",TRUE,4,"Haze",105.2
"9","Ultimate Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/ultimate-proper-as-fff-mix-pack",TRUE,4,"Julius",105.2
"10","Ultimate Proper As FFF Mix Pack","https://treehousebrew.com/shop/p/ultimate-proper-as-fff-mix-pack",TRUE,4,"Very Green",105.2
"11","King Julius Double IPA [4-pack]","https://treehousebrew.com/shop/p/king-julius-double-ipa-4-pack",TRUE,1,"King Julius Double IPA [4-pack]",20.2
"12","Give Me All Of Your Hops - Hump Day Hop Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-hops-hump-day-hop-edition-mix-pack",TRUE,1,"Give Me All Of Your Hops - Hump Day Hop Edition Mix Pack",105.2
"13","Tree Of Light Barrel-aged Barleywine","https://treehousebrew.com/shop/p/tree-of-light-barrel-aged-barleywine",TRUE,1,"Tree Of Light Barrel-aged Barleywine",18
"14","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,3,"King Julius",111.85
"15","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,3,"Seven",111.85
"16","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Beginner's Mind",111.85
"17","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Brighter Than Starlight",111.85
"18","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Brilliant",111.85
"19","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Doubleganger",111.85
"20","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Haze",111.85
"21","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Mega Treat",111.85
"22","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Thank You",111.85
"23","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Very Green",111.85
"24","Give Me All Of Your Double IPAS - Ocean Breeze Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-ocean-breeze-edition-mix-pack",TRUE,2,"Weeknight 12oz",111.85
"25","Spring Seasonal Double IPA [4-pack]","https://treehousebrew.com/shop/p/spring-seasonal-double-ipa-4-pack",TRUE,1,"Spring Seasonal Double IPA [4-pack]",18.2
"26","Haze Double IPA - 12 oz. Cans [12-pack]","https://treehousebrew.com/shop/p/haze-double-ipa-12-oz-cans-12-pack",TRUE,1,"Haze Double IPA - 12 oz. Cans [12-pack]",39.6
"27","Very Green Double IPA [4-pack]","https://treehousebrew.com/shop/p/very-green-double-ipa-4-pack",TRUE,1,"Very Green Double IPA [4-pack]",20.2
"28","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,2,"King Julius",123.95
"29","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,2,"Seven",123.95
"30","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,2,"Beginner's Mind",123.95
"31","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,2,"Weeknight 12oz",123.95
"32","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Alter Ego",123.95
"33","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Brighter Than Starlight",123.95
"34","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Brilliant",123.95
"35","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Doubleganger",123.95
"36","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Double Shot Espresso- Can",123.95
"37","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Green",123.95
"38","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Haze",123.95
"39","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Hold On To Sunshine",123.95
"40","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Impermanence- Can",123.95
"41","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Julius",123.95
"42","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Mega Treat",123.95
"43","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Nervous Energy",123.95
"44","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Simple Life- Can",123.95
"45","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Somewhere, Something",123.95
"46","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Thank You",123.95
"47","Give Me All Of Your Cans - Ultimate Variety Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-cans-ultimate-variety-mix-pack",TRUE,1,"Wanderer",123.95
"48","Haze Flagship Double IPA","https://treehousebrew.com/shop/p/haze-flagship-double-ipa",TRUE,1,"Haze Flagship Double IPA",103.2
"49","Tree House Monuments Mix Pack","https://treehousebrew.com/shop/p/tree-house-monuments-mix-pack",TRUE,4,"Alter Ego",103.2
"50","Tree House Monuments Mix Pack","https://treehousebrew.com/shop/p/tree-house-monuments-mix-pack",TRUE,4,"Doubleganger",103.2
"51","Tree House Monuments Mix Pack","https://treehousebrew.com/shop/p/tree-house-monuments-mix-pack",TRUE,4,"Green",103.2
"52","Tree House Monuments Mix Pack","https://treehousebrew.com/shop/p/tree-house-monuments-mix-pack",TRUE,4,"Haze",103.2
"53","Tree House Monuments Mix Pack","https://treehousebrew.com/shop/p/tree-house-monuments-mix-pack",TRUE,4,"Julius",103.2
"54","Tree House Monuments Mix Pack","https://treehousebrew.com/shop/p/tree-house-monuments-mix-pack",TRUE,4,"King Julius",103.2
"55","Alter Ego Core American IPA [4-pack]","https://treehousebrew.com/shop/p/alter-ego-core-american-ipa-4-pack",TRUE,1,"Alter Ego Core American IPA [4-pack]",15.2
"56","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"57","Green Flagship American IPA","https://treehousebrew.com/shop/p/green-flagship-american-ipa",TRUE,1,"Green Flagship American IPA",91.2
"58","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Julius",95.2
"59","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Green",95.2
"60","Dream Team Mix Pack","https://treehousebrew.com/shop/p/dream-team-mix-pack",TRUE,8,"Haze",95.2
"61","Beginner's Mind Double IPA [4-pack]","https://treehousebrew.com/shop/p/beginners-mind-double-ipa-4-pack",TRUE,1,"Beginner's Mind Double IPA [4-pack]",20.2
"62","Weeknight Double IPA - 12 oz exclusive! - [6-pack]","https://treehousebrew.com/shop/p/weeknight-double-ipa-12-oz-exclusive-4-pack",TRUE,1,"Weeknight Double IPA - 12 oz exclusive! - [6-pack]",19.8
"63","Seven Anniversary Double IPA [4-pack]","https://treehousebrew.com/shop/p/seven-anniversary-double-ipa-4-pack",TRUE,1,"Seven Anniversary Double IPA [4-pack]",21.2
"64","Stout Lover's Delight [Can Edition!]","https://treehousebrew.com/shop/p/stout-lovers-delight-can-edition",TRUE,2,"Double Shot Espresso",83.1
