"","item","item_link","is_beer","n","beer","price"
"1","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,1,"Very Green",121.7
"2","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,1,"Very Hazy",121.7
"3","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Beginner's Mind",121.7
"4","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Curiosity One Hundred Ten",121.7
"5","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Fascination",121.7
"6","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Fruit Project with Mango & Stonefruit",121.7
"7","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Haze",121.7
"8","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Juice Project Citra + BRU 1",121.7
"9","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Let The Light In",121.7
"10","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"On The Fly",121.7
"11","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Perfect Storm",121.7
"12","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Spring",121.7
"13","Give Me All Of Your Double IPAs Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-your-double-ipas-mix-pack",TRUE,2,"Super Vivid",121.7
"14","Thank You Double IPA [4-pack]","https://treehousebrew.com/shop/p/thank-you-double-ipa-4-pack",TRUE,1,"Thank You Double IPA [4-pack]",21.2
"15","I'll Take The New Stuff Mix Pack","https://treehousebrew.com/shop/p/ill-take-the-new-stuff-mix-pack",TRUE,5,"Curiosity One Hundred Ten",125.95
"16","I'll Take The New Stuff Mix Pack","https://treehousebrew.com/shop/p/ill-take-the-new-stuff-mix-pack",TRUE,5,"Fascination",125.95
"17","I'll Take The New Stuff Mix Pack","https://treehousebrew.com/shop/p/ill-take-the-new-stuff-mix-pack",TRUE,5,"Fruit Project with Mango & Stonefruit",125.95
