"","item","item_link","is_beer","n","beer","price"
"1","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Julius",98.7
"2","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Green",98.7
"3","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Haze",98.7
"4","Mount Rushmore Mix Pack","https://treehousebrew.com/shop/p/mount-rushmore-mix-pack",TRUE,6,"Doppelganger",98.7
"5","Julius Flagship Tree House IPA","https://treehousebrew.com/shop/p/julius-flagship-tree-house-ipa",TRUE,1,"Julius Flagship Tree House IPA",91.2
"6","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,2,"Very Hazy",122.7
"7","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Haze",122.7
"8","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Juice Project Citra + Barbe Rouge",122.7
"9","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Perfect Storm",122.7
"10","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,4,"Let The Light In",122.7
"11","Purple Rain Mix Pack","https://treehousebrew.com/shop/p/purple-rain-mix-pack",TRUE,6,"Fruit Project with Mango & Stonefruit",122.7
"12","Curiosity One Hundred Ten Experimental Double IPA [4-pack]","https://treehousebrew.com/shop/p/curiosity-one-hundred-ten-experimental-double-ipa-4-pack",TRUE,1,"Curiosity One Hundred Ten Experimental Double IPA [4-pack]",21.2
"13","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Beginner's Mind",116.7
"14","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Fruit Project with Mango + Stonefruit",116.7
"15","Quintessential Tree House Mix Pack - Weekday Edition","https://treehousebrew.com/shop/p/quintessential-tree-house-mix-pack-1-396bt",TRUE,2,"Green",116.7
