"","item","item_link","is_beer","n","beer","price"
"1","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Alter Ego",109.95
"2","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Beginner's Mind",109.95
"3","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Brighter Than Starlight",109.95
"4","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Green",109.95
"5","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Haze",109.95
"6","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Julius",109.95
"7","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"King Julius",109.95
"8","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,1,"Very Hhhazyyy",109.95
"9","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Weeknight 12oz",109.95
"10","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,2,"Brilliant",109.95
"11","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,1,"Doubleganger",109.95
"12","Give Me All Of Yours Hops - Weekend Celebration Edition Mix Pack","https://treehousebrew.com/shop/p/give-me-all-of-yours-hops-weekend-celebration-edition-mix-pack",TRUE,1,"JJJuliusss",109.95
